"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.790901748582109,11.3716646380572,0.899099342633278,11465.6894911165,11589.2667370298,13440.8170632962,0.569440749496722,0.0981039866108185,0.0885143042462938
"2",2,0.640837512148816,4.46235582242845,0.947926318991157,6918.11799212186,6938.58606804174,9500.89108436301,0.34358668945229,0.128285555033986,0.175409212987737
"3",3,0.449229690701615,2.22978023505665,0.964374195339992,4385.17844091086,4284.88014185873,7008.42101524578,0.217788847326092,0.130295661917914,0.264828072218575
"4",4,0.17693012093205,0.862535884792983,0.882379407910499,2900.29296422619,2714.49874791958,5394.82404502286,0.144042362266014,0.12390260112701,0.357005420643663
"5",5,0.0109281545930064,-0.140341900903642,0.787199552643064,1990.28319434838,1766.82826147547,4343.2569200711,0.0988469428531603,0.116871490295262,0.450782180586219
"6",6,0.32220242169104,-0.674820445453403,0.820482189135098,1410.39991773571,1181.48007263643,3577.48077069551,0.0700471774390717,0.107638247765791,0.544781343521031
"7",7,0.600275807631878,-0.949954715840274,0.878987800184824,1027.89782015139,809.720676745385,3015.72870994317,0.0510503014726291,0.0987349565382691,0.637848046229557
"8",8,0.737391903833066,-1.13460952115936,0.904514633532921,767.722736796013,567.166396332325,2585.60707794533,0.0381287676581084,0.090293763084534,0.729157112712328
"9",9,0.810273678733024,-1.25550457619093,0.921590618397963,585.840946687511,407.059129873827,2243.79278178896,0.0290956516854984,0.0823499640849386,0.818189601413341
"10",10,0.849595139459025,-1.3334450815338,0.931193333065573,455.545459319985,298.10383978643,1966.85343771277,0.0226245572048664,0.0750662082619016,0.904668675480133
"11",11,0.862331472192745,-1.39008969693736,0.928167051471485,360.14340008635,221.524146083572,1738.82113405893,0.017886436557554,0.0684785043049212,0.988492277500793
"12",12,0.877766021551369,-1.42829742792881,0.9356139000305,288.911415978733,167.018472326983,1548.46693349565,0.0143487169594603,0.0625617399941884,1.06967612917749
"13",13,0.887104882958792,-1.45249654925813,0.938695297787632,234.786478133907,127.30318356259,1387.68225906933,0.011660614757085,0.0572639832736153,1.14831012174551
"14",14,0.893842830903004,-1.47389730085046,0.940100992299196,193.008771156905,97.3516253831544,1250.4775378073,0.00958573484762378,0.0525241524578282,1.22452698655886
"15",15,0.89264895908277,-1.49043405435636,0.937308279094015,160.302653424947,75.4147936165678,1132.34074217115,0.00796139326669713,0.0482808366339208,1.29848082623397
"16",16,0.891074192334276,-1.50306496303756,0.935988149784087,134.370094373521,58.7065606317441,1029.81398073661,0.00667345887129482,0.0444764258652704,1.37033300959907
"17",17,0.897322114596628,-1.4988449316493,0.94201939149635,113.570190522081,45.9437594350076,940.206657599966,0.00564043657919451,0.0410587822480374,1.44024331115912
"18",18,0.892667852287358,-1.50833947074182,0.938378513849324,96.7120982210107,36.3048491188352,863.589125704207,0.00480318342294565,0.0380905490339178,1.50836465569808
"19",19,0.886037532608943,-1.5182581526354,0.934937465179756,82.9186062876559,28.9256141669202,796.923146831706,0.00411813291719175,0.0354643886664463,1.57484026774227
"20",20,0.882471625999346,-1.52931712978458,0.934175108399937,71.5346015062225,23.0657273548758,737.585419846827,0.00355274901942997,0.033082541849436,1.63980237906657
"21",21,0.875140802694089,-1.53752604107667,0.929342333971757,62.0646063629528,18.4843348997787,684.519391444108,0.00308242395644166,0.0309171401187266,1.70337191307133
"22",22,0.88269856134285,-1.53233176153428,0.936915582894192,54.129477911558,14.9471759013199,636.856394249151,0.00268832768371284,0.0289438689446558,1.76565875614013
"23",23,0.884596399665107,-1.53327012050318,0.941889022879304,47.4359451566855,12.0817239513796,593.876228862471,0.00235589496680832,0.0271415229230599,1.82676235983006
"24",24,0.875746536729528,-1.54081389618928,0.937698974012428,41.754882306175,9.82534792580367,554.977188790477,0.00207374632759747,0.0254915960836616,1.88677250922724
"25",25,0.870827568396285,-1.54490640106346,0.935838926605698,36.905612814894,8.00480694502505,519.653006586879,0.00183290850831358,0.0239779164252912,1.94577015427499
"26",26,0.863267783518766,-1.55179724439432,0.932636935833221,32.7444335938707,6.57228423898926,487.474937055389,0.00162624452912196,0.0225863259930532,2.00382824154787
"27",27,0.868148720586399,-1.55138150665392,0.938481993885425,29.1561301711926,5.40792365727196,458.07769772217,0.00144803229059809,0.0213044039852444,2.06101251043148
"28",28,0.866292617389408,-1.55510540867628,0.9386656636736,26.0476371031623,4.46473729358783,431.148336865733,0.00129364971955114,0.0201212287172323,2.11738223462709
"29",29,0.855040508385162,-1.56486476689457,0.930857188267817,23.3432544335502,3.7060913948717,406.417345741938,0.00115933719560716,0.0190271737653863,2.17299090053588
"30",30,0.849315790610294,-1.57052594687743,0.929371336087717,20.9810048093431,3.06656702298334,383.651507212159,0.00104201662822663,0.018013733701565,2.22788682056299
